dx dy dz r0 r1 r2 r3 r4 r5 gripper
0.000127 -0.004452 -0.000044 0.999967 -0.008120 0.000431 0.008125 0.999844 -0.015702 0.205340
0.000249 -0.007875 -0.000126 0.999897 -0.014360 0.000848 0.014378 0.999511 -0.027775 0.205340
0.000424 -0.011980 -0.000278 0.999760 -0.021840 0.001449 0.021882 0.998867 -0.042254 0.205340
0.000593 -0.015397 -0.000451 0.999604 -0.028066 0.002033 0.028135 0.998128 -0.054309 0.205340
0.000783 -0.018812 -0.000664 0.999409 -0.034283 0.002691 0.034386 0.997204 -0.066353 0.205340
0.000951 -0.021540 -0.000865 0.999224 -0.039250 0.003272 0.039385 0.996331 -0.075977 0.205340
0.001108 -0.023925 -0.001063 0.999042 -0.043590 0.003820 0.043757 0.995472 -0.084391 0.205340
0.001227 -0.025587 -0.001212 0.998649 -0.051795 0.004233 0.051965 0.994549 -0.090395 0.205340
0.000403 -0.027316 -0.001170 0.998038 -0.062546 0.002736 0.062518 0.993364 -0.096536 0.205340
-0.001254 -0.028528 0.000045 0.997272 -0.073753 0.002998 0.073682 0.992242 -0.100138 0.205340
-0.003978 -0.029907 0.001598 0.996737 -0.080703 0.001216 0.080392 0.991334 -0.103895 0.205340
-0.007602 -0.031064 0.003461 0.996276 -0.086183 -0.002582 0.085418 0.990626 -0.106606 0.205340
-0.010622 -0.031895 0.005807 0.995994 -0.089346 -0.003582 0.088440 0.990221 -0.107895 0.205340
-0.012832 -0.032717 0.008514 0.995789 -0.091660 -0.001570 0.090944 0.989879 -0.108947 0.205340
-0.014688 -0.033184 0.011547 0.995631 -0.093357 0.001791 0.092998 0.989717 -0.108681 0.205340
-0.016296 -0.033642 0.014552 0.995619 -0.093357 0.005273 0.093377 0.989712 -0.108405 0.205340
-0.017947 -0.034125 0.017762 0.995595 -0.093357 0.008633 0.093742 0.989706 -0.108136 0.205340
-0.019184 -0.034607 0.021261 0.995542 -0.093356 0.013439 0.094263 0.989699 -0.107751 0.205340
-0.020167 -0.035064 0.024715 0.995463 -0.093355 0.018365 0.094794 0.989692 -0.107353 0.205340
-0.021225 -0.035498 0.027905 0.995391 -0.093354 0.021967 0.095181 0.989686 -0.107060 0.205340
-0.021864 -0.035927 0.031363 0.995267 -0.093352 0.027014 0.095723 0.989678 -0.106648 0.205340
-0.022834 -0.036383 0.034814 0.995166 -0.093351 0.030494 0.096095 0.989673 -0.106362 0.205340
-0.023580 -0.036811 0.038183 0.995049 -0.093349 0.034095 0.096478 0.989668 -0.106064 0.205340
-0.024114 -0.037213 0.041459 0.994915 -0.093347 0.037817 0.096874 0.989662 -0.105756 0.205340
-0.024551 -0.037611 0.044779 0.994767 -0.093345 0.041538 0.097268 0.989657 -0.105445 0.205340
-0.025086 -0.038054 0.048438 0.994616 -0.093343 0.045016 0.097636 0.989651 -0.105154 0.205340
-0.026296 -0.038527 0.051870 0.994594 -0.093343 0.045486 0.097686 0.989651 -0.105115 0.205340
-0.027483 -0.039019 0.055496 0.994578 -0.093342 0.045836 0.097723 0.989650 -0.105085 0.205340
-0.028607 -0.040849 0.059330 0.994385 -0.095188 0.046228 0.099727 0.989072 -0.108589 0.205340
-0.030275 -0.042254 0.062656 0.994378 -0.096419 0.043764 0.100759 0.988681 -0.111162 0.205340
-0.031450 -0.044577 0.066279 0.994178 -0.098876 0.042824 0.103244 0.987872 -0.115968 0.205340
-0.033340 -0.046523 0.069687 0.994159 -0.100720 0.038787 0.104697 0.987252 -0.119880 0.205340
-0.035038 -0.048467 0.072947 0.994115 -0.102561 0.034878 0.106131 0.986616 -0.123793 0.205340
-0.035453 -0.050240 0.075550 0.993930 -0.104400 0.034708 0.108010 0.985957 -0.127367 0.205340
-0.035447 -0.051563 0.078445 0.993759 -0.105624 0.035877 0.109426 0.985506 -0.129627 0.205340
-0.037035 -0.052971 0.080749 0.993791 -0.106850 0.031038 0.110048 0.985059 -0.132466 0.205340
-0.037673 -0.054324 0.083191 0.993710 -0.108074 0.029329 0.111067 0.984600 -0.135009 0.205340
-0.038212 -0.055163 0.085376 0.993689 -0.108685 0.027751 0.111474 0.984369 -0.136353 0.205340
-0.038262 -0.055971 0.087633 0.993622 -0.109297 0.027737 0.112092 0.984133 -0.137544 0.205340
-0.038637 -0.056760 0.089496 0.993591 -0.109908 0.026403 0.112526 0.983897 -0.138866 0.205340
-0.039388 -0.057550 0.091125 0.993499 -0.111367 0.023626 0.113591 0.983567 -0.140333 0.205340
-0.039715 -0.057830 0.092894 0.993434 -0.112214 0.022298 0.114242 0.983473 -0.140465 0.205340
-0.040478 -0.058172 0.094747 0.993497 -0.112215 0.019286 0.113816 0.983479 -0.140763 0.205340
-0.041669 -0.058567 0.096679 0.993577 -0.112216 0.014589 0.113151 0.983490 -0.141225 0.205340
-0.043240 -0.058964 0.098363 0.993648 -0.112217 0.008449 0.112278 0.983504 -0.141824 0.205340
-0.043470 -0.059285 0.100439 0.993660 -0.112218 0.006879 0.112054 0.983507 -0.141976 0.205340
-0.044072 -0.059585 0.102110 0.993676 -0.112218 0.003987 0.111641 0.983514 -0.142256 0.205340
-0.044195 -0.059826 0.103699 0.993680 -0.112218 0.002779 0.111468 0.983517 -0.142372 0.205340
-0.043844 -0.060009 0.105210 0.993678 -0.112218 0.003256 0.111536 0.983516 -0.142326 0.205340
-0.044340 -0.060206 0.106236 0.993683 -0.112218 0.000847 0.111192 0.983521 -0.142558 0.205340
-0.044390 -0.060393 0.107500 0.993684 -0.112218 -0.000119 0.111053 0.983523 -0.142651 0.205340
-0.044857 -0.060563 0.108362 0.993681 -0.112218 -0.002408 0.110725 0.983528 -0.142870 0.205340
-0.044875 -0.060701 0.109307 0.993679 -0.112218 -0.003132 0.110621 0.983530 -0.142939 0.205340
-0.044447 -0.060830 0.110492 0.993681 -0.112218 -0.002414 0.110724 0.983528 -0.142870 0.205340
-0.044447 -0.060965 0.111433 0.993679 -0.112218 -0.003139 0.110620 0.983530 -0.142940 0.205340
-0.044001 -0.061047 0.112301 0.993681 -0.112218 -0.002179 0.110758 0.983528 -0.142848 0.205340
-0.042666 -0.061088 0.113492 0.993682 -0.112218 0.001787 0.111326 0.983519 -0.142468 0.205340
-0.040882 -0.061095 0.114756 0.993657 -0.112218 0.007317 0.112116 0.983506 -0.141934 0.205340
-0.040416 -0.061174 0.115617 0.993649 -0.112217 0.008277 0.112253 0.983504 -0.141841 0.205340
-0.039055 -0.061210 0.116791 0.993608 -0.112217 0.012243 0.112818 0.983495 -0.141454 0.205340
-0.037693 -0.061222 0.117802 0.993550 -0.112216 0.016329 0.113397 0.983486 -0.141054 0.205340
-0.035884 -0.061200 0.118881 0.993441 -0.112214 0.021979 0.114197 0.983473 -0.140497 0.205340
-0.034078 -0.061155 0.119795 0.993297 -0.112212 0.027748 0.115010 0.983460 -0.139923 0.205340
-0.032720 -0.061120 0.120473 0.993167 -0.112210 0.032075 0.115617 0.983451 -0.139489 0.205340
-0.030451 -0.061059 0.121590 0.992908 -0.112206 0.039285 0.116625 0.983435 -0.138761 0.205340
