run,steps,xyz_end_mm,rot_2nd_diff_deg,rot_vel_deg_s,rot_vel_deg_s_lo,rot_vel_deg_s_hi,rot_accel_deg_s2,rot_accel_deg_s2_lo,rot_accel_deg_s2_hi,rot_jerk_deg_s3,rot_jerk_deg_s3_lo,rot_jerk_deg_s3_hi,xyz_vel_mm_s,xyz_vel_mm_s_lo,xyz_vel_mm_s_hi,xyz_accel_mm_s2,xyz_accel_mm_s2_lo,xyz_accel_mm_s2_hi,xyz_jerk_mm_s3,xyz_jerk_mm_s3_lo,xyz_jerk_mm_s3_hi,gt_rot_vel_deg_s,gt_rot_accel_deg_s2,gt_rot_jerk_deg_s3,gt_xyz_vel_mm_s,gt_xyz_accel_mm_s2,gt_xyz_jerk_mm_s3
act_r18_flow_u_lr1e5_seed2000_100000steps,50000,14.652,0.7334,14.590,14.256,14.937,212.19,204.76,219.75,11042.8,10600.0,11494.3,83.63,81.13,86.28,2747.11,2685.82,2810.55,148903.44,145142.73,152738.28,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r18_flow_u_lr1e5_seed3000_100000steps,50000,15.309,0.7646,14.370,14.087,14.664,199.01,193.34,204.81,9967.7,9629.6,10318.6,70.47,68.68,72.29,2911.64,2844.12,2981.67,157539.35,153334.63,161814.15,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r18_l1_seed2000_100000steps,100000,9.585,0.0355,4.651,4.381,4.932,24.99,23.57,26.48,1272.0,1191.3,1359.7,63.20,60.20,66.20,312.99,299.80,326.70,15732.02,14962.97,16546.26,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r18_l1_seed3000_100000steps,100000,9.881,0.0440,5.349,5.015,5.702,30.93,28.78,33.18,1470.1,1364.6,1579.6,62.63,60.07,65.25,294.48,282.67,306.67,13010.76,12432.83,13607.25,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_v1_vae_2frame_seed1000_0100000steps,100000,9.032,0.0401,5.527,5.157,5.911,25.85,24.26,27.55,1233.3,1152.2,1320.2,67.05,64.16,69.92,317.55,306.84,329.00,15112.21,14540.40,15704.54,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_v1_vae_2frame_seed1000_0200000steps,200000,9.368,0.0328,5.150,4.847,5.457,21.67,20.37,23.02,958.4,897.0,1024.2,61.54,58.95,64.18,248.94,241.05,257.02,10998.55,10561.07,11446.68,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_v1_vae_2frame_seed1000_0300000steps,300000,9.825,0.0329,5.435,5.115,5.765,21.68,20.50,22.88,870.3,823.0,919.0,63.03,60.36,65.74,255.53,246.83,264.23,9840.38,9464.36,10211.62,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_v1_vae_2frame_seed1000_0400000steps,400000,10.089,0.0296,5.184,4.908,5.465,19.00,18.04,19.95,612.5,581.8,644.9,58.89,56.49,61.32,221.90,214.86,229.03,7271.32,7006.22,7545.89,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_v1_vae_2frame_seed1000_0500000steps,500000,9.879,0.0296,5.139,4.854,5.431,18.72,17.81,19.63,678.7,647.0,711.6,62.34,59.73,64.93,228.79,221.34,236.12,7617.85,7329.84,7913.47,8.252,65.95,2793.0,73.45,627.72,29521.30
act_r50_v1_vae_noproprio_seed1000_0100000steps,100000,13.549,0.0519,5.792,5.408,6.172,33.80,31.54,36.14,1770.3,1628.1,1917.4,53.58,50.77,56.54,345.73,331.76,360.32,17633.87,16874.22,18401.21,8.252,65.95,2793.0,73.45,627.72,29521.30
