idx,des_x,des_y,des_z,ach_x,ach_y,ach_z,exp_x,exp_y,exp_z,err_x,err_y,err_z,err_norm,q0_cmd_deg,q1_cmd_deg,q2_cmd_deg,q3_cmd_deg,q4_cmd_deg,q0_meas_deg,q1_meas_deg,q2_meas_deg,q3_meas_deg,q4_meas_deg
0,0.28664076274939376,-0.013866788778602595,0.23504175720083126,0.2872084599680081,-0.01317597567736206,0.20545671134937685,0.28664076274939376,-0.013866788778602595,0.23504175720083126,0.000567697218614327,0.0006908131012405352,-0.02958504585145441,0.029598554709740946,3.0179339362002278,-47.12425493563072,26.83372008738438,28.425281947453616,5.739961395761945,2.857142857142857,-46.417582417582416,31.34065934065934,30.197802197802197,5.582417582417582
1,0.2864258593994149,-0.013519733846674379,0.2411378532257024,0.2872084599680081,-0.01317597567736206,0.20545671134937685,0.2864258593994149,-0.013519733846674379,0.2411378532257024,0.0007826005685931947,0.00034375816931231894,-0.03568114187632554,0.03569137877593696,2.9404582314481402,-47.22663511170018,26.037134676986984,27.768958896872824,5.740064601166017,2.857142857142857,-46.417582417582416,31.34065934065934,30.197802197802197,5.582417582417582
2,0.286469935488849,-0.012685800240394424,0.24196991829327227,0.2872084599680081,-0.01317597567736206,0.20545671134937685,0.286469935488849,-0.012685800240394424,0.24196991829327227,0.0007385244791590639,-0.0004901754369676364,-0.03651320694389543,0.03652396434798743,2.747674152726647,-47.22192885965057,25.92135798609569,27.666317879966865,5.734338953286027,2.857142857142857,-46.417582417582416,31.34065934065934,30.197802197802197,5.582417582417582
3,0.2864260189676662,-0.011849497784682271,0.24280295776053726,0.2872084599680081,-0.01317597567736206,0.20545671134937685,0.2864260189676662,-0.011849497784682271,0.24280295776053726,0.0007824410003419158,-0.001326477892679789,-0.03734624641116041,0.03737798654986509,2.555256568893272,-47.2526498795276,25.818516647067746,27.589219193943073,5.7285262629134115,2.857142857142857,-46.417582417582416,31.34065934065934,30.197802197802197,5.582417582417582
4,0.2863646722220567,-0.011014063159244834,0.2436316499735055,0.2872084599680081,-0.01317597567736206,0.20545671134937685,0.2863646722220567,-0.011014063159244834,0.2436316499735055,0.0008437877459513965,-0.0021619125181172264,-0.03817493862412866,0.038245415182113,2.3630778691916774,-47.288467405677736,25.718144234812563,27.51633350981437,5.722702408185175,2.857142857142857,-46.417582417582416,31.34065934065934,30.197802197802197,5.582417582417582
5,0.28628584848826466,-0.010180096683013081,0.24445448981530646,0.2872084599680081,-0.01317597567736206,0.20545671134937685,0.28628584848826466,-0.010180096683013081,0.24445448981530646,0.0009226114797434293,-0.0029958789943489786,-0.03899777846592961,0.03912356359240629,2.171241346903711,-47.32942381556824,25.620463453190176,27.44785081804243,5.716869625851487,2.857142857142857,-46.417582417582416,31.34065934065934,30.197802197802197,5.582417582417582
6,0.2861895813394395,-0.009347963904193745,0.24527003384369248,0.2872283836273333,-0.012794867621783109,0.2054567123606812,0.2861895813394395,-0.009347963904193745,0.24527003384369248,0.0010388022878937697,-0.003446903717589364,-0.03981332148301128,0.03997575293776557,1.9797955967815597,-47.375541103987096,25.525680274120337,27.38393931181527,5.7110285035984845,2.769230769230769,-46.417582417582416,31.34065934065934,30.197802197802197,5.582417582417582
7,0.28607591288971057,-0.008518029734128959,0.24607685133962157,0.28730223003202326,-0.01127014315922992,0.20545671640667387,0.28607591288971057,-0.008518029734128959,0.24607685133962157,0.001226317142312694,-0.002752113425100962,-0.040620134932947694,0.04073172404906314,1.7887893504844263,-47.4268466486757,25.434000159612005,27.3247699081083,5.70517962973342,2.4175824175824174,-46.417582417582416,31.34065934065934,30.197802197802197,5.582417582417582
8,0.28594489285830416,-0.007690658123860114,0.24687352688515568,0.2873667172278777,-0.009744994189533982,0.20545672045379318,0.28594489285830416,-0.007690658123860114,0.24687352688515568,0.0014218243695735544,-0.0020543360656738677,-0.0414168064313625,0.041492092453642195,1.5982714611457947,-47.48337332447895,25.345627726147885,27.2705161141666,5.699323593799387,2.065934065934066,-46.417582417582416,31.34065934065934,30.197802197802197,5.582417582417582
9,0.2857965785504919,-0.0068662119019022565,0.2476586628474535,0.28744589428787365,-0.007456600457722012,0.20545672652625088,0.2857965785504919,-0.0068662119019022565,0.2476586628474535,0.0016493157373817513,-0.0005903885558197555,-0.042201936321202616,0.04223827920627518,1.4082909154875314,-47.54515917167354,25.26076624935242,27.221353591186695,5.693460989191818,1.5384615384615385,-46.417582417582416,31.34065934065934,30.197802197802197,5.582417582417582
