step,time,pos_error,rot_error,ik_pos_error,ik_rot_error,target_x,target_y,target_z,ik_x,ik_y,ik_z,actual_x,actual_y,actual_z
0,0.06741929054260254,0.0003652973389828637,0.004014257279586672,2.3057087592262905e-07,2.853250969231589e-11,0.14144140931980825,1.1257629632756308e-08,0.392267542471354,0.14144118022868424,1.1259292170912967e-08,0.39226756855172434,0.1414826491879756,1.2296129020413823e-08,0.3926305044792011
1,0.13486003875732422,0.0010464378051118638,0.008343464000671388,2.401565813275485e-07,1.5170886779236282e-06,0.1438386139810312,-0.0009448583936652288,0.3926408310627761,0.1438384306650461,-0.0009447139532530043,0.39264088769669236,0.14279375685467594,-0.0009071775481358649,0.3925974050411746
2,0.20208978652954102,0.0015990345364001114,0.022354320440179373,5.277776075548373e-07,1.0588459174256505e-06,0.1462430148205536,-0.0021743712832702575,0.3927275740581822,0.14624250081409423,-0.0021742666087908803,0.3927276322803097,0.14545799897071837,-0.003550870937766258,0.3925133072495529
3,0.26932358741760254,0.002813294188366732,0.03457412095146729,4.503121612409138e-06,1.0897573903769977e-05,0.1488788660993196,-0.0034449134713091397,0.393093124488907,0.14887915843151628,-0.0034409873346007863,0.3930909386031162,0.14796347933624726,-0.0059399967622605805,0.392170492040147
4,0.33650946617126465,0.003179951434105034,0.03775825527854212,1.4220066759021677e-07,1.7007385216672873e-07,0.15162268890293668,-0.004539524978696136,0.39341286959557775,0.15162254773461958,-0.00453952237540875,0.3934128864999857,0.15160677531966438,-0.007178676417968389,0.39163897062389946
5,0.4037206172943115,0.0025129461766530653,0.036150427151014054,3.4980811387512373e-06,4.627440451954794e-06,0.15482748776224983,-0.00590260507177577,0.393055813605576,0.15482399946163825,-0.005902813070942059,0.393055971930695,0.15406064708537398,-0.008079494442070068,0.39206182842835074
6,0.4708724021911621,0.0030467376945590595,0.0334369804133316,8.871474439085528e-07,3.25478494338305e-06,0.15769835782653177,-0.006737767092757177,0.39333123359413713,0.15769753221701138,-0.006737506193197016,0.3933314268062656,0.15692274914322202,-0.009151682926513352,0.39164183959113996
7,0.5380654335021973,0.0023702667578366986,0.02612497984848677,5.566252410757529e-07,6.092822822124851e-06,0.16062610362268678,-0.0074745560316036705,0.39328116061028234,0.16062598635056374,-0.007475090461886524,0.39328126289997356,0.15971594258452046,-0.009466771738842568,0.3923751540078007
8,0.6051890850067139,0.0021483430548164804,0.02479715154099413,6.299755574078124e-07,1.0553736914275997e-06,0.1637263496812131,-0.008257209391537242,0.39332715721492556,0.16372572245412756,-0.008257266160069967,0.39332717247008137,0.16319148175793918,-0.01010249069185485,0.39236578782258513
9,0.6723999977111816,0.0018205998949854941,0.018085930989719178,2.4825952998690076e-07,1.3072732574134527e-06,0.16698840138226198,-0.008863493393175112,0.3933871830259337,0.16698819919255642,-0.008863390862570597,0.39338728421680447,0.16597387223096122,-0.010033201591296751,0.3924295310484235
